layer,neuron,primary_concept,primary_score,primary_AP,primary_AUROC,primary_P(fire|1),primary_P(fire|0),primary_lift,primary_label_support,primary_neuron_fires_total,secondary_concept,secondary_score,secondary_AP,secondary_AUROC,secondary_P(fire|1),secondary_P(fire|0),secondary_lift,secondary_label_support,polarity_score,polarity_flag
1,1543,marriage,0.2714,0.2713549046207422,0.5403981264637002,0.1639344262295081,0.1031746031746031,1.5889028849781746,122,59,family,0.2612,0.2612114451978987,0.5675547996976569,0.1481481481481481,0.1096938775510204,1.3505598498756886,108,0.0374,two-strong
1,692,male,0.2663,0.2663113868443918,0.6043482425055071,0.2075471698113207,0.1269035532994923,1.6354716852256908,106,72,family,0.2375,0.2375495535480313,0.5226993575207861,0.1944444444444444,0.1301020408163265,1.4945533654187706,108,0.108,two-strong
1,1744,marriage,0.2644,0.2644063924468592,0.5205026455026455,0.2295081967213114,0.2671957671957672,0.8589514657026938,122,129,female,0.2477,0.247657524970154,0.5278671328671329,0.2818181818181818,0.2512820512820513,1.1215213313438528,110,0.0633,two-strong
1,935,male,0.264,0.2639961401054128,0.4770136960061297,0.1509433962264151,0.1116751269035533,1.351629490469671,106,60,marriage,0.2526,0.2526035241601146,0.5260863908404891,0.1229508196721311,0.119047619047619,1.032786876570492,122,0.0432,two-strong
1,555,male,0.2636,0.2636400035205065,0.5560530600517192,0.2641509433962264,0.2005076142131979,1.3174110275829527,106,107,female,0.2478,0.2478235722724432,0.5414685314685315,0.209090909090909,0.2153846153846154,0.9707792162720316,110,0.06,two-strong
1,1034,male,0.2633,0.2632916440499538,0.537328799923379,0.1981132075471698,0.116751269035533,1.6968826761959377,106,67,marriage,0.2559,0.255874565971302,0.5241347905282331,0.1557377049180328,0.1269841269841269,1.2264344165713372,122,0.0282,two-strong
1,1208,female,0.26,0.2599693282553579,0.5153846153846153,0.1,0.0564102564102564,1.7727272413016535,110,33,marriage,0.2368,0.2368211530521661,0.5092375748113454,0.0245901639344262,0.0793650793650793,0.3098360616698361,122,0.089,two-strong
1,2437,marriage,0.2591,0.2591042710115245,0.5322447740480527,0.2459016393442623,0.238095238095238,1.0327868809081968,122,120,female,0.2262,0.226188920761511,0.4664568764568765,0.2272727272727272,0.2435897435897435,0.9330143502367162,110,0.127,two-strong
1,489,male,0.2584,0.2583529262004867,0.5552988219519204,0.2264150943396226,0.1624365482233502,1.3938679159473026,106,88,family,0.2475,0.2474559332995601,0.508775037792895,0.2037037037037037,0.1683673469387755,1.2098765360239432,108,0.0422,two-strong
1,82,male,0.2573,0.2573414021392395,0.550330428119912,0.2075471698113207,0.1624365482233502,1.2777122562850274,106,86,family,0.2274,0.2273616207230974,0.4701554232804232,0.1851851851851851,0.1683673469387755,1.0998877600217665,108,0.1165,two-strong
1,1132,marriage,0.2569,0.2568632473727021,0.5211314944921502,0.1557377049180328,0.1375661375661375,1.1320933082900986,122,71,female,0.2198,0.2198164655007877,0.45511655011655,0.1545454545454545,0.1384615384615384,1.1161616081004488,110,0.1442,two-strong
1,1839,emotion,0.2567,0.2567114421197244,0.5984281719942568,0.1818181818181818,0.1221945137157107,1.4879406186209536,99,67,female,0.2308,0.2307865496536324,0.5447086247086248,0.1363636363636363,0.1333333333333333,1.0227272650568182,110,0.101,two-strong
1,452,male,0.2566,0.2566037735849056,0.5283018867924528,0.0566037735849056,0.0,56603773.58490566,106,6,marriage,0.244,0.244,0.4920634920634921,0.0,0.0158730158730158,0.0,122,0.0491,two-strong
1,179,marriage,0.2564,0.2564287463614308,0.5042718362390494,0.0491803278688524,0.0555555555555555,0.8852458857049184,122,27,male,0.2367,0.2367073932756479,0.5299779714586725,0.0660377358490566,0.0507614213197969,1.3009433705978306,106,0.0769,two-strong
1,1809,female,0.2555,0.2554545454545455,0.5227272727272727,0.0454545454545454,0.0,45454545.45454545,110,5,marriage,0.244,0.244,0.4933862433862434,0.0,0.0132275132275132,0.0,122,0.0448,two-strong
1,2498,marriage,0.2552,0.2552131147540983,0.5096278948737964,0.0245901639344262,0.0052910052910052,4.647540105221477,122,5,family,0.2277,0.2277469135802469,0.5113378684807256,0.0277777777777777,0.0051020408163265,5.444443377333542,108,0.1076,two-strong
1,851,marriage,0.2551,0.2551328241302698,0.5327435163500737,0.0901639344262295,0.074074074074074,1.2172130983217218,122,39,emotion,0.2394,0.2394448881884682,0.5897377767701958,0.0707070707070707,0.0798004987531172,0.8860479686946912,99,0.0615,two-strong
1,2463,marriage,0.2542,0.2542192165208232,0.452012316766415,0.2295081967213114,0.2962962962962963,0.7745901613201844,122,140,emotion,0.2122,0.2121938862958225,0.5306934683493287,0.303030303030303,0.2743142144638404,1.104683191565214,99,0.1653,two-strong
1,1819,family,0.2539,0.2538882660651247,0.5236323696145124,0.2685185185185185,0.2142857142857142,1.25308641390535,108,113,female,0.2372,0.2372136783896664,0.4616317016317016,0.2272727272727272,0.2256410256410256,1.0072314004948113,110,0.0657,two-strong
1,956,female,0.2538,0.2538079166189426,0.4857575757575758,0.0727272727272727,0.0487179487179487,1.492822935865022,110,27,marriage,0.2167,0.216671987867654,0.4273354150403331,0.0327868852459016,0.0608465608465608,0.5388453225768387,122,0.1463,two-strong
1,821,female,0.2528,0.2527805266997807,0.4947319347319348,0.1272727272727272,0.0897435897435897,1.4181818023792208,110,49,family,0.2398,0.2398366444881854,0.5252267573696145,0.1018518518518518,0.096938775510204,1.05068225036996,108,0.0512,two-strong
1,1130,male,0.2496,0.2495581555868427,0.5597883344507232,0.1415094339622641,0.1345177664974619,1.0519757842764834,106,68,family,0.2441,0.2441326014422928,0.5206916099773242,0.1481481481481481,0.1326530612244898,1.1168091083900942,108,0.0217,two-strong
1,2099,male,0.2464,0.2464304105403071,0.5253208504932477,0.1320754716981132,0.1040609137055837,1.2692130572923574,106,55,female,0.2342,0.2341973472180044,0.5330769230769231,0.1363636363636363,0.1025641025641025,1.3295454415823864,110,0.0496,two-strong
1,1999,female,0.2461,0.2460592976199526,0.5274242424242425,0.1454545454545454,0.1076923076923077,1.3506493381076066,110,58,marriage,0.237,0.2369910084627625,0.498536299765808,0.081967213114754,0.1269841269841269,0.6454917981954406,122,0.0369,two-strong
1,1021,marriage,0.246,0.2460109289617486,0.5041850984473936,0.0163934426229508,0.0079365079365079,2.0655735102295414,122,5,female,0.2251,0.2250909090909091,0.5052447552447552,0.0181818181818181,0.0076923076923076,2.363636056363676,110,0.085,two-strong
1,1342,female,0.2455,0.2454706585983675,0.5279720279720279,0.0636363636363636,0.023076923076923,2.7575756380808127,110,16,marriage,0.2425,0.2424672062670337,0.5015612802498048,0.0245901639344262,0.0343915343915343,0.7150062843800569,122,0.0122,two-strong
1,690,marriage,0.2447,0.2447322404371584,0.4765049006852285,0.0081967213114754,0.0185185185185185,0.4426229269180341,122,8,female,0.2167,0.2167169421487603,0.4887296037296037,0.0,0.0205128205128205,0.0,110,0.1145,two-strong
1,870,marriage,0.2437,0.2436885245901639,0.4923670743342875,0.0163934426229508,0.0238095238095238,0.6885245612459029,122,11,female,0.2331,0.2330909090909091,0.4998251748251748,0.0272727272727272,0.0205128205128205,1.3295453897301168,110,0.0435,two-strong
1,2407,family,0.2433,0.2432619112150691,0.4830404383975812,0.074074074074074,0.0816326530612244,0.9074073962916668,108,40,emotion,0.2331,0.2331328844908693,0.5556059346583038,0.1212121212121212,0.0698254364089775,1.7359307110697284,99,0.0416,two-strong
1,611,marriage,0.2417,0.2417215884325347,0.5085653569260127,0.2131147540983606,0.2116402116402116,1.006967208356834,122,106,family,0.2306,0.2305931024267825,0.5250614134542706,0.2129629629629629,0.211734693877551,1.0058009769543073,108,0.046,two-strong
1,335,marriage,0.2413,0.2412610340479192,0.4735883424408014,0.0,0.0317460317460317,0.0,122,12,male,0.224,0.223956134857823,0.5123551383967053,0.0283018867924528,0.0228426395939086,1.238993656451435,106,0.0717,two-strong
1,1129,family,0.2411,0.2411068066855537,0.5218253968253969,0.1203703703703703,0.0892857142857142,1.348148133048889,108,48,male,0.224,0.223966779409464,0.4563020783449861,0.1226415094339622,0.0888324873096446,1.3805929763722142,106,0.0711,two-strong
