title,author,is_novel
"'The Book!' or, the Proceedings and correspondence upon the subject of the inquiry into the conduct of Her Royal Highness the Princess of Wales ... To which is prefixed a Narrative of the recent events that have led to the publication of the original documents. With a statement of facts relative to the child, now under the protection of Her Royal Highness [With an appendix of documents, depositions, etc.]","Great Britain, Commissioners appointed to inquire into the conduct of Caroline, Princess of Wales",False
"'The Buxton of Yorkshire.' Being a complete guide for tourists to Grassington, in Upper Wharfedale, etc","Harker, Bailey John",False
"'The Caughey-St. Murder! or, The Dark Myster, and How to Read it.' A sermon [on Ps. x. 8 and Job xx. 27] to the young, etc","Robinson, William, of Hull",False
"'The Cedars,' and other poems, &c [With musical notes.]","Henderson, William",False
"'The Coal Trade.' A compendium of valuable information relative to coal production, prices ... Corrected to the latest dates","Saward, Frederick E.",False
'The Cobbler o' Kirkiebrae.' A romance of Galloway,"Armstrong, Andrew J.",True
"'The Colony of Nox.' From Proceedings of the American Antiquarian Society, etc","Davis, Andrew McFarland",False
"'The Eagle's Nest' in the Valley of Sixt: a summer home among the Alps, together with some excursions among the Great Glaciers","Wills, Alfred, Right Honourable Sir, a Judge of the High Court of Justice",False
"'The Gazette Book for 1877-8.' History of Neenah, illustrated ... Containing also a full and complete record of Neenah in the Rebellion. And a complete city and business directory ... To which is appended historical sermons and sketches by resident clergymen, making a complete church history of Neenah [With a portrait.]","Cunningham, G. A.",False
'The Greatest of These.' An Irish story,"May, Evan",True
"'The Holy Land of Punt.' Racial Dwarfs in the Atlas and the Pyrenees, etc","Haliburton, Robert Grant",False
"'The Land of Charity:' a descriptive account of Travancore and its people, etc [With illustrations.]","Mateer, Samuel",False
'The Land we Live in.' History of the Argentine Republic from the landing of Solis until the present day ... Illustrated,"Power, J., of Argentina",False
'The Message to the Angel of the Church in Sardis.'-Rev. iii. 1-6. The Seatonian Prize Poem for 1886,"Bowling, Edward Woodley",False
'The New Knebworth Edition.',"Lytton, Edward Bulwer Lytton, Baron",False
'The Old Inns and Inn Signs of York' ... Illustrated by the author,"Cooper, Thomas Parsons",False
'The Plunger.' A turf tragedy of five-and-twenty years ago,"Smart, Hawley",True
'The Quiet Life.' Certain verses by various hands: the motive set forth in a prologue and epilogue by Austin Dobson; the whole adorned with ... drawings by E. A. Abbey and A. Parsons,,False
'The Right Honourable;' a romance of Society and Politics,"Maccarthy, Justin, M.P., Robinson (Sir John Richard)",True
'The Root of all Evil.' A farmhouse tragedy of thirty years ago [A novel.],"Fearon, Alec",True
"'The Trotter,' a Poona mystery","Fforde, Arthur Brownlow",False
'The Wearing of the Green.' By Basil,,True
'Them Boots.' [A story.],"Gilbert, William",True
"'Then,' or, the Tragedy of the Alsager Bazaar [In verse.]","Ramsdale, A. E.",False
"'Things New and Old,' concerning the parish of Widecomb-in-the-Moor and its neighbourhood. Edited by R. D","Dymond, Robert, f.s.a",False
'This Same Jesus.' A poem,"Bennett, Lucy Ann",False
"'Those Holy Fields.' Palestine, illustrated by pen and pencil","Manning, Samuel",False
'Thoughts and Words.' (Pieces in verse and in prose selected from authors ancient and modern.),"Dowell, Stephen",False
"'Three Stories for the fireside.' The Privateer's Revenge; Full Retribution; and, The Smuggler ... Fourth edition","O'Sullivan, Richard, a.b",False
"'Time-Honoured Lancaster' ... Historic notes on the ancient Borough of Lancaster, written, collected & compiled by Cross Fleury [With plates.]",,False
"'Tis Well it's no Worse: a comedy, etc [Adapted by Bickerstaffe from Calderón's 'El Escondído y la Tapada'.]","Bickerstaff, Isaac",False
"'To let,' etc","Croker, Bithia Mary",False
"'To the Lions!' Christians in the Colosseum. A recitation poem, etc","Terry, Leonard",False
"'Tough, but True.' [Verses against the defrauders of British seamen.]","Urie, William Aitken",False
'Tried by Fire.' A novel,"Carr, Frank, of Newcastle-on-Tyne",True
"'Twas in Trafalgar's Bay, and other stories","Besant, Walter",False
'Tween Gloamin' and the Mirk. Tales and sketches of Scottish life,"Reid, Hugh Gilzean, Sir",False
"'Twixt Ben Nevis and Glencoe: the natural history, legends, and folk-lore of the West Highlands","Stewart, Alexander, Reverend, F.S.A., Scot",False
"'Twixt Cup and Lip, etc [Tales.]","Lynn, afterwards Linton, Elizabeth",False
"'Twixt France and Spain; or, a Spring in the Pyrenees ... Illustrations, etc [With maps.]","Bilbrough, E. Ernest",False
'Twixt Love and Duty. A novel,"Hopkins, Tighe",True
'Twixt Mersey and Dee,"Gamlin, Hilda",False
'Twixt Shadow and Shine. An Australian story of Christmas,"Clarke, Marcus",True
'Twixt Two Eternities,"Causton, Selina Mary, Baroness Southwark",True
'Twixt Wife and Fatherland. A novel [By Miss L. Kuper.],,True
'Twixt Will and Will not [A novel.],"Nicholson, Jessie L.",True
'Under the Gum Tree.' Australian 'Bush' Stories ... Edited by Mrs. H. P. M. (Seventh thousand.),"Martin, Harriette Anne Pachett",False
"'Unity.' A poem suggested by the opening of the Colonial Exhibition, May 6th, 1886","Thompson, Robert Hely",False
'Unless!' A romance,"Haines, Randolph",True
'Up Neck' in 1825,"Russell, Gurdon Wadsworth",False
'Up the Country.' Letters written to her sister from the Upper Provinces of India,"Eden, Emily",False
"'Up to Date' Pleasure Guide for Portsmouth and Southsea, etc",,False
"'Verts; or, the Three creeds. A novel","Davies, Charles Maurice",True
'Wait a Year.',"Bowra, Harriette",True
'We Donkeys' on Dartmoor,"Gibbons, M. S.",False
"'We are Worldlings.' By the author of 'Rosa Noel,' etc [i.e. Bertha de Jongh.]",,True
'When George the Third was King.' An historical drama in III. acts,"Merritt, Catharine Nina",False
'Where Chineses drive.' English student-life at Peking. By a student interpreter. With ... illustrations [The preface signed: T. A. D.],"D, T. A.",False
'Who breaks-pays.' (Italian Proverb.) By the author of 'Cousin Stella' [Mrs. C. Jenkin],,False
"'William,' the Conqueror! [i.e. W. E. Gladstone.] A jubilant jubilee [in verse] . By 'Jove.'",,False
'Withered Leaves' floating on Memory's Ocean [Poems.],"Case, S. Fenimore (Samuel Fenimore)",False
"'Work and Leisure' manuals to the employment and recreation for Women Workers. Reprinted from 'Work & Leisure,' with ... additions. Part 1. Where to spend a holiday",,False
"'You'll Love Me Yet.' By F. Haswell, and That Little Woman. By I. J. Lemon [Tales.]","Haswell, Frances",True
'Zorg.' A story of British Guiana,"Kirke, Vernon",False
"(12th Session 1862-63. Syllabus of Lectures and Laboratory Practice. Examination Papers of the students at the Royal School of Mines, for ... 1861-62.)","Great Britain, Department of Science and Art",False
"(A Vade-Mecum for Malt-Worms; or, a Guide to Good-Fellows; being a description of the manners and customs of the most eminent Publick Houses in ... the cities of London and Westminster [A Guide for Malt-Worms, etc.) [In verse. By E. Ward? With illustrations.] ]",Public Houses (London),False
(J. P.) A Prince of Tyrone [A tale.],"Fennell, Charlotte",True
"(Mercurius Britannicus. Judicialis Censura; Furialis Cura.) Febris Judicialis. Sententia Navalis. Tragi-Comoedia Luteiæ summo cum applausu publice acta [In four acts and in prose, by R. Brathwait.]",,False
"(Miss Drew and the Three Bachelors.) A tale, etc","Lloyd, Samuel, of Sparkbrook, Birmingham",True
(Second Series.) Second edition,"Hood, Thomas",False
(The Year Book of British Columbia Compendium.) Compiled from the Year Book of British Columbia ... To which is added a chapter ... respecting the Canadian Yukon and Northern territory generally,"Gosnell, R. Edward",False
"1. Across America; or, the Great West and the Pacific Coast","Rusling, James Fowler",False
"11,506 Knots in the 'Sunbeam' in 1883, etc. By Thomas, Earl Brassey. With a map",,False
"14th March, 1832",,False
1636-1675. Early History of Springfield. An address delivered ... on the two hundredth anniversary of the burning of the town by the Indians ... With an appendix,"Morris, Henry, of Springfield, Mass",False
"1639. Proceedings at the celebration of the 250th Anniversary of the settlement of Guilford, Conn, etc",,False
"1645-1656 Portsmouth Records. A transcript of the first thirty-five pages of the earliest Town Book, Portsmouth, New Hampshire. With notes by F. W. Hackett",,False
1653 to the Union,"Hoadly, Charles Jeremy",False
"1737. History of Washington Co, New York. Illustrations and biographical sketches of some of its prominent men, etc","Johnson, Crisfield",False
"1763. Combined History of Shelby and Moultrie Counties ... With illustrations, etc",,False
"1770. History of Bradford County, Pennsylvania. With illustrations and biographical sketches of some of its prominent men and pioneers","Craft, David",False
"1774. 1874. Centennial Celebration, and dedication of Town Hall, Orono, Maine, March 3. 1874",,False
"1776 American Enterprise. 1876. Burley's United States Centennial Gazetteer and Guide 1876 ... C. H. Kidder, editor, etc","Kidder, Charles Holland",False
1794. A Tale of the Terror. From the French ('Les Aventures de Deux Parisiennes pendant la Terreur') ... by Mrs. C. Hoey,"Héricault, Charles d', i.e. Charles Joseph de Ricault",True
1812; the war and its moral: a Canadian chronicle,"Coffin, William F. (William Foster)",False
"1825. February. List of Inhabitants of the Precinct of St. Katharine, by the Tower, and that part of St. Botolph, Aldgate, who will be affected by the proposed new docks, etc",,False
"1832-1882. Semi-Centennial Celebration of the City of Buffalo. Address of the Hon. E. C. Sprague ... July 3, 1882. Celebration of July 4th, in connection with laying of corner stone of Soldiers' and Sailors' Monument",Buffalo Historical Society (Buffalo),False
"1842. History of Buchanan County, Iowa, with illustrations and biographical sketches. (C. S. Percival, E. Percival, Editors.)","Percival, C. S.",False
1848. Historical Revelations: inscribed to Lord Normanby [An answer to Lord Normanby's 'A Year of Revolution in Paris.'],"Blanc, Jean Joseph Louis",False
"1858. Third Report of the Committee ... With List of Donors, Subscribers, etc",Calder Farm Reformatory School (Mirfield),False
"1861 vs. 1882. 'Co Aytch,' Maury Grays, first Tennessee Regiment; or, a side show of the big show","Watkins, Sam R.",False
"1865. The Poll for Two Knights of the Shire to represent the Western Division of ... Kent ... Compiled ... by William Hall, etc",,False
1880. Western Australia. North-West Exploration. Journal of Expedition from De Grey to Port Darwin [With illustrations and a map.],"Forrest, Alexander, f.r.g.s",False
"50,000 milles dans l'océan Pacifique ... Ouvrage illustré de dix phototypies d'après les dessins de l'auteur","Davin, Albert",False
55 Guineas Reward [A novel.],"Milford, Fred. C.",True
"6,000 Miles through Wonderland. Being a description of the marvelous region traversed by the Northern Pacific Railroad. By Olin D. Wheeler. Illustrated, etc",,False
6000 Tons of Gold [A novel. By K. E. Kirkwood.],,True
A Babe in Bohemia,"Danby, Frank, pseudonym [i.e. Julia Frankau]",True
A Bachelor Girl in London [A tale.],"Mitton, Geraldine Edith, afterwards Scott (Geraldine Edith) Lady",True
A Bachelor's Blunder,"Norris, W. E. (William Edward)",True
A Bachelor's Wife [A novel.] By Ursa Major. (New edition.),,True
A Bachelor's Wife. By Ursa Major,,True
"A Bad Name; or, the Brand of Cain. A true story of London life","Ellis, James J. (James Joseph)",False
A Baffled Vengeance; a tale of the West Indies,"Evelyn, J., pseudonym [i.e. E. J. Bowen]",True
A Baffling Quest. A novel,"Dowling, Richard",True
A Baireuth Pilgrimage [A novel.],"Cuthell, Edith E.",True
A Ballad Book by C. K. Sharpe. M.DCCCXXIII. Reprinted with notes and ballads from the unpublished MSS. of C. K. Sharpe and Sir Walter Scott ... Edited by ... D. Laing,"Sharpe, Charles Kirkpatrick",False
A Ballad for the Tercentenary of the Spanish Armada. July 1888,"Sladen, Douglas Brooke Wheelton",False
A Ballad of Waterloo,,True
A Ballroom Repentance [A novel.],"Edwards, Annie",True
A Banished Beauty [A novel.],"Bickerdyke, John, pseudonym [i.e. Charles Henry Cook]",True
A Bartered Honour. A novel,"Sherard, Robert Harborough",True
"A Bartholomew Fairing, new, new, new: sent from the raised siege before Dublin as a preparatory present to the great thanksgiving day. To be communicated onely to Independents [A satirical drama, chiefly in prose.]",,False
A Beggar on Horseback [A novel.],"O'Donoghue, Nannie Power, Mrs",True
"A Beggar, and other fantasies","Black, Grace",True
A Beginner,"Broughton, Rhoda",False
"A Benevolent Epistle to Sylvanus Urban, alias ... J. Nichols, ... not forgetting ... W. Hayley [A satire in verse.] To which is added, an elegy to Apollo; also Sir J. Banks and the Boiled Fleas, an ode. By Peter Pindar Esquire","Pindar, Peter",False
"A Berkshire Village [i.e. Stanford], its history and antiquities","Maine, Lewin George",False
"A Bibliographical and Descriptive Tour from Scarborough to the Library of a Philobiblist [i.e. Francis Wrangham], in it's neighbourhood","Cole, John, of Scarborough",False
"A Bid for Fortune; or, Dr. Nikola's vendetta, etc","Boothby, Guy",True
A Big Stake. A novel,"Jocelyn, Ada Maria",True
"A Biographical Sketch from the Memoirs of Brass Crosby, Esq. Lord Mayor of London in 1771, containing a history of the great and successful struggle that then took place for the free publication of the parliamentary debates [Edited by Sir Cuthbert Sharpe.]","Crosby, Brass, Lord Mayor of London",False
A Bird of Paradise,"James, Charles Thomas Clement",True
A Bird of Passage,"Croker, Bithia Mary",True
"A Bird's-Eye View of Picturesque India, etc","Temple, Richard, Sir",False
A Bird's-Eye View of our Civil War,"Dodge, Theodore Ayrault",False
"A Bit of Human Nature: and, the 'Lively Fanny,' [Tales.]","Murray, David Christie",True
A Bit of Humanity [A tale.],"Tomlinson, Lizzie Joyce",True
A Bit of Red May: a village mystery,"Dale, Oliver",True
A Bit of a Fool [A novel.],"Peel, Robert, Sir, 4th Baronet",True
"A Bit of the Tartan; or, Two fragments of romance","Colquhoun, Frances Mary",True
A Bitter Birthright [A novel.],"Russell, Dora",True
